id,source,vulnerability,risk_score
15e481e7-666c-4689-83be-5065e3484c9c,237.62.251.21,Brocade Fabric OS Default Credentials,88
399a5d62-c21c-4bf9-bfe8-ccc546d94d72,20.194.212.38,Oracle WebLogic Server mod_wl POST Request Remote Overflow,86
7aa150ad-33af-49e4-afa7-18a9b1f1ab67,174.179.40.224,Oracle WebLogic Server mod_wl POST Request Remote Overflow,18
fdd6ec02-b5cd-4e4a-bb41-967e430bec3e,118.127.3.27,Brocade Fabric OS Default Credentials,68
93549a7d-8169-40dd-81be-7e8b945d0255,156.185.127.68,Insecure .net framework 4.0,69
f749c25e-6eae-4f77-989d-768b81b3890e,62.41.161.77,Bind Shell Backdoor Detection,11
615c7cff-c7a1-4293-b414-d4bd4c2ab5e5,2.25.181.181,Insecure .net framework 4.0,69
3c372b12-4aa3-496f-9fc5-97d5ef64c944,10.128.35.79,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),3
673d7304-f599-4014-80d8-509450a6933c,60.83.159.99,Insecure Kentico version 8.1 is running,82
5be7d606-a0fa-4244-b074-8d173c6f3ad0,205.170.195.204,BSD Based FTP Server Multiple glob Function Remote Overflow,95
dfdf5c3d-800c-4892-8749-1d067a4b8bd1,79.184.88.88,Exposure of Application source code config files and credentials,67
998f2864-7603-4a13-b795-23e588df91bc,121.21.129.88,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),29
887c53de-9265-4908-9786-c17ffd6ab112,255.89.85.142,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,75
0611679c-594c-4632-8cdd-3b285fcab9b0,171.214.205.244,Bind Shell Backdoor Detection,30
70b7c19f-53c9-406e-ac89-a8ec04119a7f,174.30.81.201,Insecure Apache version 2.2.15,96
58359fa8-0792-4eae-8284-e4c875b9883c,92.222.219.30,Microsoft Windows 95/98/ME Unsupported Installation Detection,86
43786cd4-f20a-403a-9f4c-f6bbd5fef958,79.184.88.88,Unsupported Cisco Operating System,71
f103344f-9e72-41eb-9324-448c63c7aada,88.253.242.192,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,77
4b84c516-63d9-407b-95b6-9a6225d4868d,209.119.227.238,BSD Based FTP Server Multiple glob Function Remote Overflow,28
e4a1ac57-c817-44c3-ad07-02ff80db829f,190.168.142.189,MailEnable WebMail Detection,54
623c8d4c-e8af-42eb-9528-d6d43f278d78,158.6.226.19,Temporary File Download,26
ccc871e8-41fe-4b0b-9848-25fde7bc80ac,217.57.221.228,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),68
70b8bc5d-49e4-45f2-97f7-008172021666,76.239.91.134,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),66
b2c3a4d7-68ab-4f5d-b589-464bf9c54e0a,173.78.199.190,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),60
ceb45810-9ec8-4f3d-ada6-667cccd44325,80.90.180.26,BSD Based FTP Server Multiple glob Function Remote Overflow,47
6fe25a3a-318b-465f-9e48-7d9a4eb860eb,15.121.227.60,Temporary File Download,92
d25cd2be-1974-4da8-b35e-e71079aec776,2.157.228.76,Apache ActiveMQ Detection,4
0e75c46f-05e4-48c9-82cb-b7a65b63735b,205.204.5.194,Password Spraying Attack,5
b415fa9f-6a1d-4798-beff-ceefd55b413c,217.57.221.228,Bind Shell Backdoor Detection,64
cac19d75-f83f-4796-a20f-489dabda89a1,255.89.85.142,Oracle Error Log Found,68
112f078a-cc90-4b21-9b3a-8d5811f539a7,244.88.127.199,Password Spraying Attack,79
4c2f647d-5853-46f1-b349-b4c59a6d9fa8,15.121.227.60,Insecure Apache version 2.2.15,38
e9d0885d-c674-483a-801d-672bd7430fbd,171.214.205.244,Apache Struts2 Remote Command Execution,84
19d9af60-02cc-45a4-b06d-182bf912e99a,139.58.16.1,Oracle WebLogic Server mod_wl POST Request Remote Overflow,60
8cfe3fe6-c3a9-4ed4-8e41-6b21f0dd3c03,35.164.19.92,Unrestricted File Upload,38
0acb4941-ba85-48cb-901d-6c1900b1fe86,100.34.68.89,Oracle WebLogic Server mod_wl POST Request Remote Overflow,2
1ca8476f-5091-41c1-8838-d93e1de3663d,111.10.211.142,Docker remote API detection,38
78f69c55-12db-40ad-8ea5-39d658fff8a3,76.139.33.239,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),65
af8a5ab0-5213-4b07-9240-abff1789644c,123.235.172.151,Mozilla Firefox < 84.0,64
e90f6770-0231-4a79-9ce0-393fa4b13520,134.164.219.117,Apache ActiveMQ Detection,20
d824a1b5-49f3-408c-b464-2a98b27350ce,80.12.208.81,Apache ActiveMQ Detection,64
1d49e72e-05f9-414d-862c-67b9f297f01d,217.57.221.228,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,13
fb4740fb-d63c-42b5-a6d3-1b16ec729a5a,111.10.211.142,Account Takeover via Forgot Password,82
ff740033-9a24-43ae-b87b-7567f786f9fc,81.62.129.251,Insecure Apache version 2.2.15,47
c18ae4a4-e682-4cc1-8bc5-ba134225ea79,130.226.238.118,Mozilla Firefox < 84.0,11
a2650b76-9499-4235-82f9-bff62a0626d8,133.15.4.45,Unrestricted File Upload,15
4f3156aa-b7fe-46ac-815e-e0a94d856a04,190.168.142.189,Mozilla Firefox < 84.0,5
776c4f92-152f-4622-9271-4f1e587ab755,123.235.172.151,Oracle WebLogic Server mod_wl POST Request Remote Overflow,26
37844aa4-4e3c-4e3e-be2c-156a6d31d179,68.138.160.33,Microsoft Windows 95/98/ME Unsupported Installation Detection,73
7b194849-6602-4731-a17a-cdcf60a08a6b,30.253.51.250,Apache ActiveMQ Detection,50
3030b029-178c-48d4-a2cd-fa85632019b8,194.211.32.228,Unrestricted File Upload,80
c72778d6-29bd-499c-abf9-44ed391a92db,195.131.179.122,Bind Shell Backdoor Detection,78
c14e1abf-2093-4d50-9863-0c0e3e1f6d08,111.10.211.142,Mozilla Firefox < 84.0,79
7e427502-761e-49d8-8fa4-eb739d247ced,173.78.199.190,Bind Shell Backdoor Detection,24
344fa47d-c6ec-483d-ace7-2ddfc9679c29,118.127.3.27,Mozilla Firefox < 84.0,54
fe195d8d-281c-4380-b017-2da243630d01,20.100.13.218,Docker remote API detection,64
df9b81a2-8a8f-464c-88c1-cec695c832a7,29.29.49.207,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,48
122d309f-dc8d-4e77-9c67-7c7b67ae1faf,20.100.13.218,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,51
a73073e2-053f-4467-9857-7e637825e5f7,201.10.141.151,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),57
07ce9d94-1cf7-4d8b-89db-2256c5a29ab9,62.41.161.77,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,22
a04764ea-df87-4937-b537-98bda4038097,247.41.39.120,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,32
b6862201-7322-440c-8287-5a4d1ff90e6b,194.211.32.228,MailEnable WebMail Detection,48
2146cf52-4f47-4cdd-89e4-c3046386df9c,16.196.99.124,MailEnable WebMail Detection,61
e824c003-90d8-431a-b54e-114c8d18ee72,29.29.49.207,Unrestricted File Upload,63
f1ab8293-9a59-45a4-a141-a481c345360d,76.239.91.134,Apache ActiveMQ Detection,48
bbba4d94-1c41-47ef-a3e4-77eaf1af051f,244.88.127.199,Account Takeover via Forgot Password,91
07c81473-0ade-46f6-aeb8-e59cedee71fa,15.53.18.15,Microsoft Windows 95/98/ME Unsupported Installation Detection,9
8fc65c83-886c-4d8a-be86-0358833d4d70,110.219.57.216,Bind Shell Backdoor Detection,43
0dc6448f-6052-492a-af76-6ab3b95cbe92,217.57.221.228,Account Takeover via Forgot Password,78
bfa29245-51ce-4ced-9841-77c96dc31e57,220.140.43.225,Apache Struts2 Remote Command Execution,58
59514333-cd1d-478e-9ca2-706e380edbba,112.133.16.254,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,17
1a9fdd24-af5a-4bc2-8697-3738dd43d892,42.240.26.60,Docker remote API detection,58
d414fdff-5345-4053-8c44-5f1dbd1476a9,205.204.5.194,Temporary File Download,38
95452575-278a-4c60-abdb-38500e387912,20.194.212.38,Oracle WebLogic Server mod_wl POST Request Remote Overflow,49
edf974df-ca71-4e84-b58e-bd29c00ea651,124.52.124.205,Unsupported Cisco Operating System,69
739d798d-c0a3-4650-b5b7-db1974d7e53d,15.121.227.60,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),31
eee48057-84c9-4c69-8c79-cf674ffb1209,80.12.208.81,Insecure Kentico version 8.1 is running,62
089fb741-e6ff-4285-87fb-701b32af9af8,48.26.131.21,BSD Based FTP Server Multiple glob Function Remote Overflow,25
64d3eae4-d221-4386-8484-e0d38594cc86,29.29.49.207,Insecure Kentico version 8.1 is running,88
8b96cc30-0bc8-4df3-ae6b-fafbcc3da442,129.141.34.131,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,64
4a4aa3df-a70f-44de-bb71-5046edef97cc,2.25.181.181,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,34
fb63b0e3-b0ad-4d1f-b3ad-de647fe68a5f,30.253.51.250,Account Takeover via Forgot Password,34
5edc8904-8386-4d7d-bb06-35b778b30b05,62.224.210.247,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,5
52b1843a-fa9c-4e3d-964e-d4a217911cf5,171.214.205.244,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,20
1e7ae7d6-64a9-4fd0-b98f-be9d58994831,60.83.159.99,Unrestricted File Upload,46
fb9245dd-4afb-4dd5-8a78-a7bed11ba208,130.226.238.118,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),11
1339e29b-9810-4907-822b-06566295fab8,100.34.68.89,Temporary File Download,54
81a7199c-c378-412a-ba77-7e5bd558e42c,247.41.39.120,Account Takeover via Forgot Password,16
b49ab06a-c494-4c06-bf6f-fe7d58ac9e79,199.248.86.27,Insecure .net framework 4.0,89
ba3843c1-1713-49a2-b1d4-b190e0722675,62.224.210.247,Insecure Apache version 2.2.15,10
8247d734-3ebf-4f28-8e86-5af9fd3fbafd,244.192.45.95,Unrestricted File Upload,75
1b3af7d8-33fb-4d28-b0e6-8ddf981c2a7f,226.223.146.129,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,51
bc45f0dc-8d11-4f1e-a50f-0a2c2ab90136,171.214.205.244,Brocade Fabric OS Default Credentials,93
25ca134d-a20f-479a-83b6-9bcaa35f9311,195.131.179.122,Apache Struts2 Remote Command Execution,15
553ac1d7-c36d-4555-b184-a49c1419c1c4,195.131.179.122,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),25
8e49fbc5-22b6-4af0-b0b5-1f6b0086e065,197.250.224.86,Unrestricted File Upload,74
a49a74e0-c96f-4c97-9e71-db2adb7d4a63,212.43.50.247,Microsoft Windows 95/98/ME Unsupported Installation Detection,71
736341f9-4930-44c4-b974-b5949388585b,123.235.172.151,MailEnable WebMail Detection,40
389059b6-2cbf-4d93-b482-a0748777d3c3,34.142.3.137,Unrestricted File Upload,75
a7cda4bc-e44f-435c-bda3-d9213e64601d,30.253.51.250,Password Spraying Attack,64
11ebdd24-e571-4e3b-98c4-44b38b3ff091,76.239.91.134,Unrestricted File Upload,62
1b4defe0-a9e0-485d-a8f9-c1ead32b6610,48.26.131.21,Exposure of Application source code config files and credentials,22
c3d16363-47fa-4cea-8ed4-5ad6e7a38ead,2.25.181.181,File Content Disclosure /etc/passwd,6
b0811c9a-1ed4-470d-a2f7-215725ef2058,254.150.88.142,Mozilla Firefox < 84.0,10
88da88e1-8820-4a94-a787-a9948d87c2cc,110.219.57.216,Microsoft Windows 95/98/ME Unsupported Installation Detection,92
6a5a6a53-906b-45ae-9cb5-595cfe64482d,205.170.195.204,Password Spraying Attack,93
4d0324d8-9b01-4dac-ad01-5e1d7fa43dd5,124.52.124.205,Docker remote API detection,7
bf80710c-a342-4d24-a12f-56b201f952df,58.96.118.146,Brocade Fabric OS Default Credentials,86
06748921-62de-4c64-858d-ec813a3db90d,247.41.39.120,Exposure of Application source code config files and credentials,55
cfe59f87-af89-4224-b377-1f3a2b317739,121.21.129.88,Docker remote API detection,47
fd0395dc-cd8b-40e8-9751-015001d5776f,112.133.16.254,MailEnable WebMail Detection,85
c09d39ae-bc44-4a7e-9b2a-8aba81405864,226.223.146.129,File Content Disclosure /etc/passwd,5
925c92c2-2a8f-4b01-908e-bfe2f8c23891,81.62.129.251,Oracle WebLogic Server mod_wl POST Request Remote Overflow,19
fa32f96e-004f-40f0-8f69-e4bd6e89cce0,150.93.106.16,Password Spraying Attack,93
bacbd0ca-0d92-4dcd-afae-62f4af28e581,225.200.235.7,Bind Shell Backdoor Detection,92
5b3e15ef-e289-4855-9890-35523c155d2a,190.168.142.189,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,95
a0aaf881-9078-426b-a2d1-65f002bf3a8e,206.68.75.94,Unrestricted File Upload,40
daa10f01-4ed8-4dea-b252-b95bf2756824,118.127.3.27,MailEnable WebMail Detection,8
bda2ba92-d9c5-434e-8447-80241522ae37,206.68.75.94,Oracle WebLogic Server mod_wl POST Request Remote Overflow,50
b0749d10-52d3-49db-a638-4f90eb6dbef6,16.196.99.124,Bind Shell Backdoor Detection,34
df2cbd5c-0341-4f66-b8e5-1bae0507c33c,130.226.238.118,Unrestricted File Upload,72
99c2407a-8468-47e1-a158-ddbd1c5ec86e,50.255.144.198,Exposure of Application source code config files and credentials,48
4ee1aa86-7551-4f0a-b31b-ce34e8104550,123.235.172.151,Unsupported Cisco Operating System,40
d25fcca5-bb79-46c1-b231-8b884eefde7e,100.34.68.89,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,77
50b7d45a-8044-4df5-996e-a6391d2fa206,185.204.254.63,Bind Shell Backdoor Detection,53
1d588e7a-c516-4ae0-9c93-c447ab1e8b00,29.29.49.207,NTMail3 Arbitrary Mail Relay,9
31f9e937-9054-4f7a-9d5c-6827a2915ffb,211.211.214.136,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,25
b4ea8614-9656-493d-864b-7a2a5d3a943b,34.142.3.137,Unsupported Cisco Operating System,7
d353b219-d2fd-4a0f-b502-624bb42f086e,42.240.26.60,Insecure Kentico version 8.1 is running,46
303010bf-aea0-4794-b62a-7889d3947aa5,42.109.146.100,Unrestricted File Upload,11
6bacfb44-fdfc-4ca0-807c-0c0221274f7a,156.185.127.68,Oracle Error Log Found,82
324fb816-7d2a-4fe1-a094-caeb9786e1ed,237.62.251.21,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,85
81556740-0949-40bb-9c90-e610db535437,203.109.127.147,Temporary File Download,29
11d366b5-041f-475d-9814-e6ea09419f4c,80.12.208.81,Apache Struts2 Remote Command Execution,89
e476d06d-6a68-4f65-b1fc-9b8681ed2c18,131.42.79.221,Oracle Error Log Found,43
c9c0bea9-c388-48a3-80a2-5f0616bae955,111.10.211.142,BSD Based FTP Server Multiple glob Function Remote Overflow,36
5afaefbd-35c2-482a-91e5-46fb5b9ff20d,100.34.68.89,Insecure .net framework 4.0,90
90834645-18b7-4353-af0a-ab6cce7b7c55,68.138.160.33,Temporary File Download,8
8d639d63-2f19-4a31-91b0-6f8a10e0d0bf,234.130.35.103,Bind Shell Backdoor Detection,74
